Algoritmo,Tamanho,Tempo,Comparacoes (cada 10 mil),Trocas (cada 10 mil)
selection,pequeno,1.3685,79998,3
bubble,pequeno,7.3720,79998,39963
bubble_otimizado,pequeno,7.1895,79997,39963
insertion,pequeno,0.5165,39967,39963
insertion_otimizado,pequeno,0.5784,39967,39963
selection,medio,8.6421,499995,9
bubble,medio,45.2950,499995,249563
bubble_otimizado,medio,44.3683,499993,249563
insertion,medio,3.2781,249573,249563
insertion_otimizado,medio,3.2021,249573,249563
selection,grande,51.6684,3124987,24
bubble,grande,280.4369,3124987,1564660
bubble_otimizado,grande,276.5966,3124905,1564660
insertion,grande,19.0778,1564685,1564660
insertion_otimizado,grande,19.0035,1564685,1564660
